Pathway,Pathway_ID,Community_ID,Community_Size,Overlap_Size,Pathway_Coverage_%,Community_Coverage_%,P_Value,Overlapping_Genes
C0036095,0,410,236,4,8.88888888888889,1.694915254237288,0.0014673146234486956,"5176, 2195, 6484, 81831"
C0036095,0,326,97,2,4.444444444444445,2.0618556701030926,0.017496874991379658,"4082, 5587"
C0036095,0,178,19,1,2.2222222222222223,5.263157894736842,0.03894183729526211,2621
C0036095,0,227,20,1,2.2222222222222223,5.0,0.04094980541308704,6659
C0036095,0,449,20,1,2.2222222222222223,5.0,0.04094980541308704,358
C0036095,0,87,22,1,2.2222222222222223,4.545454545454546,0.04495344302842135,2019
C0036095,0,413,23,1,2.2222222222222223,4.3478260869565215,0.04694912889160782,6651
C0033941,1,202,139,2,11.76470588235294,1.4388489208633095,0.005268797904283531,"8787, 3350"
C0033941,1,381,11,1,5.88235294117647,9.090909090909092,0.008642549551200059,2099
C0033941,1,393,14,1,5.88235294117647,7.142857142857142,0.010987378837375168,5245
C0033941,1,313,27,1,5.88235294117647,3.7037037037037033,0.02108811812970924,2950
C0033941,1,179,31,1,5.88235294117647,3.225806451612903,0.024176452374100172,135
C0033941,1,158,34,1,5.88235294117647,2.941176470588235,0.0264866826365572,3362
C0033941,1,38,35,1,5.88235294117647,2.857142857142857,0.02725561477404633,4886
C0033941,1,94,35,1,5.88235294117647,2.857142857142857,0.02725561477404633,207
C0033941,1,157,35,1,5.88235294117647,2.857142857142857,0.02725561477404633,9463
C0033941,1,218,56,1,5.88235294117647,1.7857142857142856,0.043271751676124785,1636
C0033941,1,255,58,1,5.88235294117647,1.7241379310344827,0.044784083973143346,6648
C0033941,1,5,437,2,11.76470588235294,0.4576659038901602,0.04562071741222206,"2912, 4988"
C0043459,2,101,21,5,33.33333333333333,23.809523809523807,1.566215867188453e-12,"5824, 5825, 5192, 5193, 8504"
C0043459,2,109,9,3,20.0,33.33333333333333,2.2837528560797963e-08,"55670, 5189, 5190"
C0043459,2,255,58,2,13.333333333333334,3.4482758620689653,0.0007303975477935647,"5830, 3295"
C0043459,2,428,85,2,13.333333333333334,2.3529411764705883,0.0015604296497625952,"5194, 5195"
C0043459,2,411,30,1,6.666666666666667,3.3333333333333335,0.020679406503212722,5828
C0043459,2,513,32,1,6.666666666666667,3.125,0.02204374263465239,8799
C0033860,3,208,33,4,5.0,12.121212121212121,6.6292859519941335e-06,"51561, 3593, 149233, 6774"
C0033860,3,274,211,5,6.25,2.3696682464454977,0.0011358701777444311,"7297, 8651, 3596, 3565, 1437"
C0033860,3,255,58,2,2.5,3.4482758620689653,0.0196575449345336,"6648, 847"
C0033860,3,375,309,4,5.0,1.2944983818770228,0.027996301643100574,"84648, 29785, 353144, 353143"
C0033860,3,17,11,1,1.25,9.090909090909092,0.04008203236359115,4288
C0027726,4,372,176,5,23.809523809523807,2.840909090909091,6.272392923241493e-07,"1282, 1284, 462, 1277, 5054"
C0027726,4,450,32,1,4.761904761904762,3.125,0.03072879073607239,7827
C0027726,4,135,36,1,4.761904761904762,2.7777777777777777,0.0345060435780664,2
C0027726,4,47,39,1,4.761904761904762,2.564102564102564,0.037329778815345084,7018
C0027726,4,351,50,1,4.761904761904762,2.0,0.047616332436731496,2262
C0338480,5,126,17,1,8.333333333333332,5.88235294117647,0.009424740057912653,79054
C0338480,5,316,17,1,8.333333333333332,5.88235294117647,0.009424740057912653,9457
